Wall = 25 cm => glass, angle 20 degress 

X : 384.77 mm, Y: 163.33 mm , angle : 23, dist : 38.8 cm 
X : 319.74 mm, Y: 142.36 mm , angle : 24, dist : 32.0 cm 
X : 318.11 mm, Y: 148.34 mm , angle : 25, dist : 32.1 cm 
X : 1668.16 mm, Y: 813.62 mm , angle : 26, dist : 182.6 cm 
X : 567.57 mm, Y: 289.19 mm , angle : 27, dist : 60.7 cm 
X : 585.39 mm, Y: 311.26 mm , angle : 28, dist : 63.3 cm 
X : 232.65 mm, Y: 128.96 mm , angle : 29, dist : 23.6 cm 
X : 28377.92 mm, Y: 16384.0 mm , angle : 30, dist : 3273.8 cm 
X : 28087.66 mm, Y: 16876.77 mm , angle : 31, dist : 3273.8 cm 
X : 521.55 mm, Y: 325.9 mm , angle : 32, dist : 58.5 cm 
X : 519.14 mm, Y: 337.13 mm , angle : 33, dist : 58.9 cm 
X : 518.15 mm, Y: 349.5 mm , angle : 34, dist : 59.5 cm 
X : 592.25 mm, Y: 414.7 mm , angle : 35, dist : 69.3 cm 
X : 509.68 mm, Y: 370.3 mm , angle : 36, dist : 60.0 cm 
X : 491.96 mm, Y: 370.72 mm , angle : 37, dist : 58.6 cm 
X : 490.14 mm, Y: 382.94 mm , angle : 38, dist : 59.2 cm 
X : 488.82 mm, Y: 395.84 mm , angle : 39, dist : 59.9 cm 
X : 487.97 mm, Y: 409.46 mm , angle : 40, dist : 60.7 cm 
X : 537.0 mm, Y: -450.59 mm , angle : 320, dist : 67.1 cm 
X : 537.01 mm, Y: -434.86 mm , angle : 321, dist : 66.1 cm 
X : 537.42 mm, Y: -419.88 mm , angle : 322, dist : 65.2 cm 
X : 537.48 mm, Y: -405.02 mm , angle : 323, dist : 64.3 cm 
X : 537.19 mm, Y: -390.29 mm , angle : 324, dist : 63.400000000000006 cm 
X : 537.36 mm, Y: -376.27 mm , angle : 325, dist : 62.599999999999994 cm 
X : 537.22 mm, Y: -362.36 mm , angle : 326, dist : 61.8 cm 
X : 536.75 mm, Y: -348.57 mm , angle : 327, dist : 61.0 cm 
X : 536.81 mm, Y: -335.44 mm , angle : 328, dist : 60.3 cm 
X : 536.59 mm, Y: -322.41 mm , angle : 329, dist : 59.6 cm 
X : 536.07 mm, Y: -309.5 mm , angle : 330, dist : 58.9 cm 
X : 536.14 mm, Y: -297.19 mm , angle : 331, dist : 58.3 cm 
X : 535.95 mm, Y: -284.97 mm , angle : 332, dist : 57.7 cm 
X : 536.39 mm, Y: -273.3 mm , angle : 333, dist : 57.2 cm 
X : 535.68 mm, Y: -261.27 mm , angle : 334, dist : 56.6 cm 
X : 534.72 mm, Y: -249.34 mm , angle : 335, dist : 56.0 cm 
X : 533.51 mm, Y: -237.53 mm , angle : 336, dist : 55.4 cm 
X : 533.89 mm, Y: -226.62 mm , angle : 337, dist : 55.0 cm 
X : 534.06 mm, Y: -215.77 mm , angle : 338, dist : 54.6 cm 
X : 534.01 mm, Y: -204.99 mm , angle : 339, dist : 54.2 cm 
X : 533.75 mm, Y: -194.27 mm , angle : 340, dist : 53.8 cm 
X : 533.27 mm, Y: -183.62 mm , angle : 341, dist : 53.4 cm 
X : 533.54 mm, Y: -173.36 mm , angle : 342, dist : 53.1 cm 
X : 533.62 mm, Y: -163.14 mm , angle : 343, dist : 52.8 cm 
X : 533.5 mm, Y: -152.98 mm , angle : 344, dist : 52.5 cm 
X : 532.23 mm, Y: -142.61 mm , angle : 345, dist : 52.1 cm 
X : 532.69 mm, Y: -132.82 mm , angle : 346, dist : 51.9 cm 
X : 532.01 mm, Y: -122.82 mm , angle : 347, dist : 51.6 cm 
X : 532.11 mm, Y: -113.1 mm , angle : 348, dist : 51.4 cm 
X : 532.04 mm, Y: -103.42 mm , angle : 349, dist : 51.2 cm 
X : 531.8 mm, Y: -93.77 mm , angle : 350, dist : 51.0 cm 
X : 532.36 mm, Y: -84.32 mm , angle : 351, dist : 50.9 cm 
X : 530.78 mm, Y: -74.6 mm , angle : 352, dist : 50.6 cm 
X : 531.01 mm, Y: -65.2 mm , angle : 353, dist : 50.5 cm 
X : 531.07 mm, Y: -55.82 mm , angle : 354, dist : 50.4 cm 
X : 530.97 mm, Y: -46.45 mm , angle : 355, dist : 50.3 cm 
X : 530.7 mm, Y: -37.11 mm , angle : 356, dist : 50.2 cm 
X : 530.27 mm, Y: -27.79 mm , angle : 357, dist : 50.1 cm 
X : 530.68 mm, Y: -18.53 mm , angle : 358, dist : 50.1 cm 
X : 529.92 mm, Y: -9.25 mm , angle : 359, dist : 50.0 cm 
X : 530.0 mm, Y: 0.0 mm , angle : 0, dist : 50.0 cm 
X : 529.92 mm, Y: 9.25 mm , angle : 1, dist : 50.0 cm 
X : 530.68 mm, Y: 18.53 mm , angle : 2, dist : 50.1 cm 
X : 530.27 mm, Y: 27.79 mm , angle : 3, dist : 50.1 cm 
X : 530.7 mm, Y: 37.11 mm , angle : 4, dist : 50.2 cm 
X : 591.74 mm, Y: 51.77 mm , angle : 5, dist : 56.4 cm 
X : 32588.49 mm, Y: 3425.19 mm , angle : 6, dist : 3273.8 cm 
X : 297.76 mm, Y: 36.56 mm , angle : 7, dist : 27.0 cm 
X : 297.08 mm, Y: 41.75 mm , angle : 8, dist : 27.0 cm 
X : 295.32 mm, Y: 46.77 mm , angle : 9, dist : 26.9 cm 
X : 293.47 mm, Y: 51.75 mm , angle : 10, dist : 26.8 cm 
X : 289.58 mm, Y: 56.29 mm , angle : 11, dist : 26.5 cm 
X : 328.66 mm, Y: 69.86 mm , angle : 12, dist : 30.6 cm 
X : 436.52 mm, Y: 100.78 mm , angle : 13, dist : 41.8 cm 
X : 316.32 mm, Y: 78.87 mm , angle : 14, dist : 29.6 cm 
X : 322.62 mm, Y: 86.45 mm , angle : 15, dist : 30.4 cm 
X : 331.64 mm, Y: 95.09 mm , angle : 16, dist : 31.5 cm 
X : 31336.19 mm, Y: 9580.44 mm , angle : 17, dist : 3273.8 cm 
X : 434.63 mm, Y: 141.22 mm , angle : 18, dist : 42.7 cm 
X : 459.52 mm, Y: 158.23 mm , angle : 19, dist : 45.6 cm 
X : 480.18 mm, Y: 174.77 mm , angle : 20, dist : 48.1 cm 
X : 453.72 mm, Y: 174.17 mm , angle : 21, dist : 45.6 cm 
X : 400.54 mm, Y: 161.83 mm , angle : 22, dist : 40.2 cm 
X : 371.88 mm, Y: 157.86 mm , angle : 23, dist : 37.4 cm 
X : 312.43 mm, Y: 139.1 mm , angle : 24, dist : 31.200000000000003 cm 
X : 321.74 mm, Y: 150.03 mm , angle : 25, dist : 32.5 cm 
X : 1481.21 mm, Y: 722.44 mm , angle : 26, dist : 161.8 cm 
X : 559.55 mm, Y: 285.11 mm , angle : 27, dist : 59.8 cm 
X : 577.45 mm, Y: 307.03 mm , angle : 28, dist : 62.400000000000006 cm 
